Population Aged 15 Years and Over 2011 to 2016 (Number) by Highest,,,,
"Level of Ed, Sex, Age at which Full Time Education Ceased, County and",,,,
City and Census Year,,,,
,,,,
 , , ,Galway City,523
 , , ,Galway County,962
 , , ,Leitrim,129
 , , ,Mayo,573
 , , ,Roscommon,260
 , , ,Sligo,297
 , , ,Cavan,255
 , , ,Donegal,517
 , , ,Monaghan,238
 , ,23 years,,
 , , ,State,17305
 , , ,Carlow,134
 , , ,Dublin City,3067
 , , ,Dún Laoghaire-Rathdown,1530
 , , ,Fingal,1135
 , , ,South Dublin,899
 , , ,Kildare,809
 , , ,Kilkenny,369
 , , ,Laois,182
 , , ,Longford,86
 , , ,Louth,345
 , , ,Meath,528
 , , ,Offaly,171
 , , ,Westmeath,268
 , , ,Wexford,379
 , , ,Wicklow,516
 , , ,Clare,349
 , , ,Cork City,542
 , , ,Cork County,1667
 , , ,Kerry,390
 , , ,Limerick City and County,677
 , , ,Tipperary,408
 , , ,Waterford City and County,341
 , , ,Galway City,352
 , , ,Galway County,580
 , , ,Leitrim,95
 , , ,Mayo,404
 , , ,Roscommon,188
 , , ,Sligo,194
 , , ,Cavan,181
 , , ,Donegal,348
 , , ,Monaghan,171
 , ,24 years,,
 , , ,State,10873
 , , ,Carlow,98
 , , ,Dublin City,1973
 , , ,Dún Laoghaire-Rathdown,968
 , , ,Fingal,749
 , , ,South Dublin,603
 , , ,Kildare,510
 , , ,Kilkenny,197
 , , ,Laois,121
 , , ,Longford,41
 , , ,Louth,231
 , , ,Meath,324
 , , ,Offaly,101
 , , ,Westmeath,189
 , , ,Wexford,224
 , , ,Wicklow,316
 , , ,Clare,194
 , , ,Cork City,347
 , , ,Cork County,973
 , , ,Kerry,266
 , , ,Limerick City and County,367
 , , ,Tipperary,251
 , , ,Waterford City and County,221
 , , ,Galway City,270
 , , ,Galway County,360
 , , ,Leitrim,55
 , , ,Mayo,258
 , , ,Roscommon,112
 , , ,Sligo,140
 , , ,Cavan,92
 , , ,Donegal,234
 , , ,Monaghan,88
 , ,25 years and over,,
 , , ,State,27750
 , , ,Carlow,291
 , , ,Dublin City,4509
 , , ,Dún Laoghaire-Rathdown,2148
 , , ,Fingal,1940
 , , ,South Dublin,1543
 , , ,Kildare,1228
 , , ,Kilkenny,527
 , , ,Laois,328
 , , ,Longford,161
 , , ,Louth,647
 , , ,Meath,942
 , , ,Offaly,288
 , , ,Westmeath,424
 , , ,Wexford,609
 , , ,Wicklow,817
 , , ,Clare,599
 , , ,Cork City,908
 , , ,Cork County,2297
 , , ,Kerry,719
 , , ,Limerick City and County,1160
 , , ,Tipperary,687
 , , ,Waterford City and County,681
 , , ,Galway City,736
 , , ,Galway County,930
 , , ,Leitrim,148
 , , ,Mayo,609
 , , ,Roscommon,300
 , , ,Sligo,361
 , , ,Cavan,245
 , , ,Donegal,755
 , , ,Monaghan,213
 ,Female,,,
 , ,18 years,,
 , , ,State,4846
 , , ,Carlow,53
 , , ,Dublin City,612
 , , ,Dún Laoghaire-Rathdown,351
 , , ,Fingal,417
 , , ,South Dublin,322
 , , ,Kildare,274
 , , ,Kilkenny,108
 , , ,Laois,74
 , , ,Longford,24
 , , ,Louth,110
 , , ,Meath,239
 , , ,Offaly,68
 , , ,Westmeath,78
 , , ,Wexford,161
 , , ,Wicklow,179
 , , ,Clare,128
 , , ,Cork City,85
 , , ,Cork County,359
 , , ,Kerry,108
 , , ,Limerick City and County,140
 , , ,Tipperary,136
 , , ,Waterford City and County,108
 , , ,Galway City,64
 , , ,Galway County,162
 , , ,Leitrim,28
 , , ,Mayo,116
 , , ,Roscommon,54
 , , ,Sligo,63
 , , ,Cavan,47
 , , ,Donegal,127
 , , ,Monaghan,51
 , ,19 years,,
 , , ,State,2486
 , , ,Carlow,34
 , , ,Dublin City,275
 , , ,Dún Laoghaire-Rathdown,153
 , , ,Fingal,186
 , , ,South Dublin,155
 , , ,Kildare,146
 , , ,Kilkenny,67
 , , ,Laois,39
 , , ,Longford,10
 , , ,Louth,66
 , , ,Meath,106
 , , ,Offaly,39
 , , ,Westmeath,46
 , , ,Wexford,79
 , , ,Wicklow,105
 , , ,Clare,57
 , , ,Cork City,44
 , , ,Cork County,229
 , , ,Kerry,62
 , , ,Limerick City and County,75
 , , ,Tipperary,90
 , , ,Waterford City and County,70
 , , ,Galway City,39
 , , ,Galway County,87
 , , ,Leitrim,11
 , , ,Mayo,47
 , , ,Roscommon,21
 , , ,Sligo,35
 , , ,Cavan,27
 , , ,Donegal,67
 , , ,Monaghan,19
 , ,20 years,,
 , , ,State,8958
 , , ,Carlow,87
 , , ,Dublin City,1059
 , , ,Dún Laoghaire-Rathdown,553
 , , ,Fingal,568
 , , ,South Dublin,495
 , , ,Kildare,545
 , , ,Kilkenny,177
 , , ,Laois,170
 , , ,Longford,69
 , , ,Louth,254
 , , ,Meath,452
 , , ,Offaly,128
 , , ,Westmeath,148
 , , ,Wexford,284
 , , ,Wicklow,223
 , , ,Clare,233
 , , ,Cork City,165
 , , ,Cork County,752
 , , ,Kerry,252
 , , ,Limerick City and County,303
 , , ,Tipperary,298
 , , ,Waterford City and County,208
 , , ,Galway City,163
 , , ,Galway County,361
 , , ,Leitrim,50
 , , ,Mayo,184
 , , ,Roscommon,99
 , , ,Sligo,130
 , , ,Cavan,160
 , , ,Donegal,301
 , , ,Monaghan,87
 , ,21 years,,
 , , ,State,31360
 , , ,Carlow,308
 , , ,Dublin City,4286
 , , ,Dún Laoghaire-Rathdown,2091
 , , ,Fingal,2004
 , , ,South Dublin,1608
 , , ,Kildare,1538
 , , ,Kilkenny,713
 , , ,Laois,472
 , , ,Longford,200
 , , ,Louth,729
 , , ,Meath,1307
 , , ,Offaly,416
 , , ,Westmeath,536
 , , ,Wexford,877
 , , ,Wicklow,894
 , , ,Clare,815
 , , ,Cork City,684
 , , ,Cork County,2920
 , , ,Kerry,864
 , , ,Limerick City and County,1140
 , , ,Tipperary,868
 , , ,Waterford City and County,717
 , , ,Galway City,649
 , , ,Galway County,1181
 , , ,Leitrim,219
 , , ,Mayo,698
 , , ,Roscommon,408
 , , ,Sligo,424
 , , ,Cavan,451
 , , ,Donegal,970
 , , ,Monaghan,373
 , ,22 years,,
 , , ,State,34190
 , , ,Carlow,299
 , , ,Dublin City,5207
 , , ,Dún Laoghaire-Rathdown,2637
 , , ,Fingal,2171
 , , ,South Dublin,1859
 , , ,Kildare,1604
 , , ,Kilkenny,785
 , , ,Laois,442
 , , ,Longford,206
 , , ,Louth,709
 , , ,Meath,1144
 , , ,Offaly,375
 , , ,Westmeath,550
 , , ,Wexford,917
 , , ,Wicklow,1008
 , , ,Clare,756
 , , ,Cork City,931
 , , ,Cork County,3402
 , , ,Kerry,926
 , , ,Limerick City and County,1234
 , , ,Tipperary,947
 , , ,Waterford City and County,785
 , , ,Galway City,617
 , , ,Galway County,1189
 , , ,Leitrim,166
 , , ,Mayo,817
 , , ,Roscommon,423
 , , ,Sligo,457
 , , ,Cavan,409
 , , ,Donegal,780
 , , ,Monaghan,438
 , ,23 years,,
 , , ,State,19827
 , , ,Carlow,202
 , , ,Dublin City,3252
 , , ,Dún Laoghaire-Rathdown,1477
 , , ,Fingal,1313
 , , ,South Dublin,1061
 , , ,Kildare,894
 , , ,Kilkenny,448
 , , ,Laois,246
 , , ,Longford,115
 , , ,Louth,387
 , , ,Meath,658
 , , ,Offaly,194
 , , ,Westmeath,288
 , , ,Wexford,539
 , , ,Wicklow,590
 , , ,Clare,409
 , , ,Cork City,544
 , , ,Cork County,1863
 , , ,Kerry,500
 , , ,Limerick City and County,666
 , , ,Tipperary,520
 , , ,Waterford City and County,429
 , , ,Galway City,403
 , , ,Galway County,722
 , , ,Leitrim,108
 , , ,Mayo,563
 , , ,Roscommon,245
 , , ,Sligo,292
 , , ,Cavan,211
 , , ,Donegal,469
 , , ,Monaghan,219
 , ,24 years,,
 , , ,State,11093
 , , ,Carlow,107
 , , ,Dublin City,1840
 , , ,Dún Laoghaire-Rathdown,811
 , , ,Fingal,769
 , , ,South Dublin,556
 , , ,Kildare,487
 , , ,Kilkenny,252
 , , ,Laois,155
 , , ,Longford,71
 , , ,Louth,259
 , , ,Meath,397
 , , ,Offaly,112
 , , ,Westmeath,212
 , , ,Wexford,266
 , , ,Wicklow,359
 , , ,Clare,213
 , , ,Cork City,274
 , , ,Cork County,959
 , , ,Kerry,299
 , , ,Limerick City and County,347
 , , ,Tipperary,272
 , , ,Waterford City and County,250
 , , ,Galway City,228
 , , ,Galway County,421
 , , ,Leitrim,56
 , , ,Mayo,290
 , , ,Roscommon,137
 , , ,Sligo,144
 , , ,Cavan,125
 , , ,Donegal,276
 , , ,Monaghan,149
 , ,25 years and over,,
 , , ,State,29695
 , , ,Carlow,339
 , , ,Dublin City,4229
 , , ,Dún Laoghaire-Rathdown,1906
 , , ,Fingal,1858
 , , ,South Dublin,1554
 , , ,Kildare,1301
 , , ,Kilkenny,682
 , , ,Laois,429
 , , ,Longford,186
 , , ,Louth,751
 , , ,Meath,1062
 , , ,Offaly,334
 , , ,Westmeath,489
 , , ,Wexford,814
 , , ,Wicklow,899
 , , ,Clare,730
 , , ,Cork City,855
 , , ,Cork County,2454
 , , ,Kerry,810
 , , ,Limerick City and County,1113
 , , ,Tipperary,827
 , , ,Waterford City and County,767
 , , ,Galway City,743
 , , ,Galway County,1194
 , , ,Leitrim,202
 , , ,Mayo,820
 , , ,Roscommon,365
 , , ,Sligo,436
 , , ,Cavan,317
 , , ,Donegal,929
 , , ,Monaghan,300
Postgraduate diploma or degree,,,,
 ,Male,,,
 , ,18 years,,
 , , ,State,2801
 , , ,Carlow,22
 , , ,Dublin City,416
 , , ,Dún Laoghaire-Rathdown,305
 , , ,Fingal,316
 , , ,South Dublin,226
 , , ,Kildare,172
 , , ,Kilkenny,46
 , , ,Laois,26
 , , ,Longford,7
 , , ,Louth,75
 , , ,Meath,139
 , , ,Offaly,16
 , , ,Westmeath,31
 , , ,Wexford,54
 , , ,Wicklow,105
 , , ,Clare,56
 , , ,Cork City,61
 , , ,Cork County,186
 , , ,Kerry,35
 , , ,Limerick City and County,79
 , , ,Tipperary,71
 , , ,Waterford City and County,52
 , , ,Galway City,30
 , , ,Galway County,69
 , , ,Leitrim,7
 , , ,Mayo,41
 , , ,Roscommon,19
 , , ,Sligo,34
 , , ,Cavan,24
 , , ,Donegal,65
 , , ,Monaghan,16
 , ,19 years,,
 , , ,State,1088
 , , ,Carlow,9
 , , ,Dublin City,137
 , , ,Dún Laoghaire-Rathdown,102
 , , ,Fingal,103
 , , ,South Dublin,88
 , , ,Kildare,75
 , , ,Kilkenny,23
 , , ,Laois,12
 , , ,Longford,4
 , , ,Louth,44
 , , ,Meath,58
 , , ,Offaly,10
 , , ,Westmeath,9
 , , ,Wexford,24
 , , ,Wicklow,39
 , , ,Clare,20
 , , ,Cork City,26
 , , ,Cork County,91
 , , ,Kerry,27
 , , ,Limerick City and County,23
 , , ,Tipperary,20
 , , ,Waterford City and County,30
 , , ,Galway City,16
 , , ,Galway County,24
 , , ,Leitrim,7
 , , ,Mayo,23
 , , ,Roscommon,7
 , , ,Sligo,6
 , , ,Cavan,4
 , , ,Donegal,21
 , , ,Monaghan,6
 , ,20 years,,
 , , ,State,2493
 , , ,Carlow,17
 , , ,Dublin City,335
 , , ,Dún Laoghaire-Rathdown,239
 , , ,Fingal,210
 , , ,South Dublin,144
 , , ,Kildare,151
 , , ,Kilkenny,57
 , , ,Laois,24
 , , ,Longford,8
 , , ,Louth,75
 , , ,Meath,118
 , , ,Offaly,27
 , , ,Westmeath,33
 , , ,Wexford,53
 , , ,Wicklow,90
 , , ,Clare,55
 , , ,Cork City,40
 , , ,Cork County,227
 , , ,Kerry,46
 , , ,Limerick City and County,60
 , , ,Tipperary,57
 , , ,Waterford City and County,69
 , , ,Galway City,50
 , , ,Galway County,116
 , , ,Leitrim,8
 , , ,Mayo,30
 , , ,Roscommon,23
 , , ,Sligo,28
 , , ,Cavan,29
 , , ,Donegal,53
 , , ,Monaghan,21
 , ,21 years,,
 , , ,State,9107
 , , ,Carlow,65
 , , ,Dublin City,1470
 , , ,Dún Laoghaire-Rathdown,1091
 , , ,Fingal,734
 , , ,South Dublin,516
 , , ,Kildare,549
 , , ,Kilkenny,132
 , , ,Laois,87
 , , ,Longford,42
 , , ,Louth,203
 , , ,Meath,355
 , , ,Offaly,68
 , , ,Westmeath,120
 , , ,Wexford,163
 , , ,Wicklow,283
 , , ,Clare,204
 , , ,Cork City,199
 , , ,Cork County,733
 , , ,Kerry,159
 , , ,Limerick City and County,295
 , , ,Tipperary,193
 , , ,Waterford City and County,184
 , , ,Galway City,194
 , , ,Galway County,326
 , , ,Leitrim,30
 , , ,Mayo,169
 , , ,Roscommon,70
 , , ,Sligo,119
 , , ,Cavan,75
 , , ,Donegal,209
 , , ,Monaghan,70
 , ,22 years,,
 , , ,State,13508
 , , ,Carlow,81
 , , ,Dublin City,2613
 , , ,Dún Laoghaire-Rathdown,1828
 , , ,Fingal,1022
 , , ,South Dublin,765
 , , ,Kildare,721
 , , ,Kilkenny,207
 , , ,Laois,130
 , , ,Longford,66
 , , ,Louth,260
 , , ,Meath,412
 , , ,Offaly,93
 , , ,Westmeath,179
 , , ,Wexford,216
 , , ,Wicklow,399
 , , ,Clare,263
 , , ,Cork City,321
 , , ,Cork County,1093
 , , ,Kerry,244
 , , ,Limerick City and County,376
 , , ,Tipperary,284
 , , ,Waterford City and County,229
 , , ,Galway City,276
 , , ,Galway County,458
 , , ,Leitrim,61
 , , ,Mayo,209
 , , ,Roscommon,126
 , , ,Sligo,134
 , , ,Cavan,89
 , , ,Donegal,256
 , , ,Monaghan,97
 , ,23 years,,
 , , ,State,14111
 , , ,Carlow,77
 , , ,Dublin City,3105
 , , ,Dún Laoghaire-Rathdown,1779
 , , ,Fingal,983
 , , ,South Dublin,724
 , , ,Kildare,640
 , , ,Kilkenny,210
 , , ,Laois,118
 , , ,Longford,45
 , , ,Louth,243
 , , ,Meath,392
 , , ,Offaly,113
 , , ,Westmeath,184
 , , ,Wexford,225
 , , ,Wicklow,377
 , , ,Clare,259
 , , ,Cork City,470
 , , ,Cork County,1230
 , , ,Kerry,242
 , , ,Limerick City and County,428
 , , ,Tipperary,261
 , , ,Waterford City and County,263
 , , ,Galway City,317
 , , ,Galway County,458
 , , ,Leitrim,46
 , , ,Mayo,237
 , , ,Roscommon,104
 , , ,Sligo,140
 , , ,Cavan,92
 , , ,Donegal,262
 , , ,Monaghan,87
 , ,24 years,,
 , , ,State,12305
 , , ,Carlow,85
 , , ,Dublin City,2790
 , , ,Dún Laoghaire-Rathdown,1421
 , , ,Fingal,965
 , , ,South Dublin,674
 , , ,Kildare,531
 , , ,Kilkenny,169
 , , ,Laois,95
 , , ,Longford,43
 , , ,Louth,188
 , , ,Meath,333
 , , ,Offaly,106
 , , ,Westmeath,178
 , , ,Wexford,183
 , , ,Wicklow,347
 , , ,Clare,240
 , , ,Cork City,440
 , , ,Cork County,1031
 , , ,Kerry,226
 , , ,Limerick City and County,363
 , , ,Tipperary,203
 , , ,Waterford City and County,193
 , , ,Galway City,278
 , , ,Galway County,396
 , , ,Leitrim,47
 , , ,Mayo,188
 , , ,Roscommon,96
 , , ,Sligo,126
 , , ,Cavan,81
 , , ,Donegal,219
 , , ,Monaghan,70
 , ,25 years and over,,
 , , ,State,38602
 , , ,Carlow,275
 , , ,Dublin City,8385
 , , ,Dún Laoghaire-Rathdown,3848
 , , ,Fingal,2734
 , , ,South Dublin,2018
 , , ,Kildare,1738
 , , ,Kilkenny,605
 , , ,Laois,340
 , , ,Longford,146
 , , ,Louth,773
 , , ,Meath,1176
 , , ,Offaly,316
 , , ,Westmeath,554
 , , ,Wexford,707
 , , ,Wicklow,1152
 , , ,Clare,783
 , , ,Cork City,1404
 , , ,Cork County,2812
 , , ,Kerry,766
 , , ,Limerick City and County,1312
 , , ,Tipperary,704
 , , ,Waterford City and County,722
 , , ,Galway City,1113
 , , ,Galway County,1312
 , , ,Leitrim,163
 , , ,Mayo,708
 , , ,Roscommon,303
 , , ,Sligo,462
 , , ,Cavan,271
 , , ,Donegal,820
 , , ,Monaghan,180
 ,Female,,,
 , ,18 years,,
 , , ,State,3460
 , , ,Carlow,39
 , , ,Dublin City,431
 , , ,Dún Laoghaire-Rathdown,266
 , , ,Fingal,310
 , , ,South Dublin,256
 , , ,Kildare,185
 , , ,Kilkenny,67
 , , ,Laois,50
 , , ,Longford,15
 , , ,Louth,82
 , , ,Meath,136
 , , ,Offaly,30
 , , ,Westmeath,50
 , , ,Wexford,89
 , , ,Wicklow,117
 , , ,Clare,75
 , , ,Cork City,75
 , , ,Cork County,256
 , , ,Kerry,99
 , , ,Limerick City and County,117
 , , ,Tipperary,96
 , , ,Waterford City and County,92
 , , ,Galway City,56
 , , ,Galway County,105
 , , ,Leitrim,37
 , , ,Mayo,80
 , , ,Roscommon,43
 , , ,Sligo,41
 , , ,Cavan,33
 , , ,Donegal,91
 , , ,Monaghan,41
 , ,19 years,,
 , , ,State,1458
 , , ,Carlow,17
 , , ,Dublin City,187
 , , ,Dún Laoghaire-Rathdown,102
 , , ,Fingal,118
 , , ,South Dublin,109
 , , ,Kildare,95
 , , ,Kilkenny,27
 , , ,Laois,24
 , , ,Longford,7
 , , ,Louth,32
 , , ,Meath,68
 , , ,Offaly,16
 , , ,Westmeath,18
 , , ,Wexford,37
 , , ,Wicklow,35
 , , ,Clare,33
 , , ,Cork City,48
 , , ,Cork County,125
 , , ,Kerry,29
 , , ,Limerick City and County,50
 , , ,Tipperary,31
 , , ,Waterford City and County,32
 , , ,Galway City,25
 , , ,Galway County,48
 , , ,Leitrim,7
 , , ,Mayo,34
 , , ,Roscommon,27
 , , ,Sligo,16
 , , ,Cavan,17
 , , ,Donegal,36
 , , ,Monaghan,8
 , ,20 years,,
 , , ,State,4043
 , , ,Carlow,32
 , , ,Dublin City,527
 , , ,Dún Laoghaire-Rathdown,285
 , , ,Fingal,289
 , , ,South Dublin,200
 , , ,Kildare,245
 , , ,Kilkenny,59
 , , ,Laois,44
 , , ,Longford,29
 , , ,Louth,106
 , , ,Meath,174
 , , ,Offaly,66
 , , ,Westmeath,87
 , , ,Wexford,122
 , , ,Wicklow,129
 , , ,Clare,84
 , , ,Cork City,77
 , , ,Cork County,356
 , , ,Kerry,84
 , , ,Limerick City and County,130
 , , ,Tipperary,109
 , , ,Waterford City and County,82
 , , ,Galway City,83
 , , ,Galway County,175
 , , ,Leitrim,43
 , , ,Mayo,90
 , , ,Roscommon,46
 , , ,Sligo,75
 , , ,Cavan,54
 , , ,Donegal,121
 , , ,Monaghan,40
 , ,21 years,,
 , , ,State,15515
 , , ,Carlow,139
 , , ,Dublin City,2304
 , , ,Dún Laoghaire-Rathdown,1345
 , , ,Fingal,1066
 , , ,South Dublin,830
 , , ,Kildare,803
 , , ,Kilkenny,284
 , , ,Laois,223
 , , ,Longford,93
 , , ,Louth,329
 , , ,Meath,600
 , , ,Offaly,219
 , , ,Westmeath,238
 , , ,Wexford,372
 , , ,Wicklow,415
 , , ,Clare,334
 , , ,Cork City,316
 , , ,Cork County,1376
 , , ,Kerry,364
 , , ,Limerick City and County,468
 , , ,Tipperary,394
 , , ,Waterford City and County,294
 , , ,Galway City,361
 , , ,Galway County,655
 , , ,Leitrim,103
 , , ,Mayo,355
 , , ,Roscommon,190
 , , ,Sligo,217
 , , ,Cavan,202
 , , ,Donegal,486
 , , ,Monaghan,140
 , ,22 years,,
 , , ,State,19405
 , , ,Carlow,136
 , , ,Dublin City,3337
 , , ,Dún Laoghaire-Rathdown,2006
 , , ,Fingal,1315
 , , ,South Dublin,1039
 , , ,Kildare,927
 , , ,Kilkenny,401
 , , ,Laois,242
 , , ,Longford,92
 , , ,Louth,369
 , , ,Meath,642
 , , ,Offaly,188
 , , ,Westmeath,270
 , , ,Wexford,409
 , , ,Wicklow,557
 , , ,Clare,390
 , , ,Cork City,480
 , , ,Cork County,1762
 , , ,Kerry,448
 , , ,Limerick City and County,584
 , , ,Tipperary,451
 , , ,Waterford City and County,352
 , , ,Galway City,393
 , , ,Galway County,763
 , , ,Leitrim,104
 , , ,Mayo,414
 , , ,Roscommon,220
 , , ,Sligo,249
 , , ,Cavan,200
 , , ,Donegal,490
 , , ,Monaghan,175
 , ,23 years,,
 , , ,State,18797
 , , ,Carlow,111
 , , ,Dublin City,3836
 , , ,Dún Laoghaire-Rathdown,1865
 , , ,Fingal,1251
 , , ,South Dublin,985
 , , ,Kildare,867
 , , ,Kilkenny,338
 , , ,Laois,238
 , , ,Longford,71
 , , ,Louth,363
 , , ,Meath,575
 , , ,Offaly,160
 , , ,Westmeath,272
 , , ,Wexford,398
 , , ,Wicklow,542
 , , ,Clare,350
 , , ,Cork City,583
 , , ,Cork County,1632
 , , ,Kerry,397
 , , ,Limerick City and County,539
 , , ,Tipperary,382
 , , ,Waterford City and County,353
 , , ,Galway City,395
 , , ,Galway County,688
 , , ,Leitrim,91
 , , ,Mayo,383
 , , ,Roscommon,182
 , , ,Sligo,201
 , , ,Cavan,165
 , , ,Donegal,426
 , , ,Monaghan,158
 , ,24 years,,
 , , ,State,15886
 , , ,Carlow,147
 , , ,Dublin City,3130
 , , ,Dún Laoghaire-Rathdown,1510
 , , ,Fingal,1174
 , , ,South Dublin,819
 , , ,Kildare,700
 , , ,Kilkenny,307
 , , ,Laois,182
 , , ,Longford,65
 , , ,Louth,270
 , , ,Meath,501
 , , ,Offaly,178
 , , ,Westmeath,257
 , , ,Wexford,347
 , , ,Wicklow,422
 , , ,Clare,310
 , , ,Cork City,474
 , , ,Cork County,1413
 , , ,Kerry,330
 , , ,Limerick City and County,469
 , , ,Tipperary,341
 , , ,Waterford City and County,281
 , , ,Galway City,380
 , , ,Galway County,566
 , , ,Leitrim,73
 , , ,Mayo,331
 , , ,Roscommon,140
 , , ,Sligo,201
 , , ,Cavan,161
 , , ,Donegal,289
 , , ,Monaghan,118
 , ,25 years and over,,
 , , ,State,50374
 , , ,Carlow,400
 , , ,Dublin City,9394
 , , ,Dún Laoghaire-Rathdown,4252
 , , ,Fingal,3231
 , , ,South Dublin,2410
 , , ,Kildare,2257
 , , ,Kilkenny,925
 , , ,Laois,610
 , , ,Longford,221
 , , ,Louth,958
 , , ,Meath,1577
 , , ,Offaly,510
 , , ,Westmeath,746
 , , ,Wexford,1047
 , , ,Wicklow,1488
 , , ,Clare,1220
 , , ,Cork City,1595
 , , ,Cork County,4293
 , , ,Kerry,1234
 , , ,Limerick City and County,1753
 , , ,Tipperary,1239
 , , ,Waterford City and County,963
 , , ,Galway City,1482
 , , ,Galway County,2030
 , , ,Leitrim,320
 , , ,Mayo,1127
 , , ,Roscommon,505
 , , ,Sligo,623
 , , ,Cavan,445
 , , ,Donegal,1121
 , , ,Monaghan,398
Doctorate (Ph.D.),,,,
 ,Male,,,
 , ,18 years,,
 , , ,State,111
 , , ,Carlow,2
 , , ,Dublin City,16
 , , ,Dún Laoghaire-Rathdown,12
 , , ,Fingal,9
 , , ,South Dublin,8
 , , ,Kildare,7
 , , ,Kilkenny,1
 , , ,Laois,2
 , , ,Longford,1
 , , ,Louth,2
 , , ,Meath,6
 , , ,Offaly,0
 , , ,Westmeath,1
 , , ,Wexford,4
 , , ,Wicklow,2
 , , ,Clare,1
 , , ,Cork City,8
 , , ,Cork County,6
 , , ,Kerry,0
 , , ,Limerick City and County,4
 , , ,Tipperary,4
 , , ,Waterford City and County,4
 , , ,Galway City,2
 , , ,Galway County,1
 , , ,Leitrim,0
 , , ,Mayo,1
 , , ,Roscommon,2
 , , ,Sligo,1
 , , ,Cavan,1
 , , ,Donegal,3
 , , ,Monaghan,0
 , ,19 years,,
 , , ,State,45
 , , ,Carlow,0
 , , ,Dublin City,9
 , , ,Dún Laoghaire-Rathdown,3
 , , ,Fingal,6
 , , ,South Dublin,1
 , , ,Kildare,1
 , , ,Kilkenny,0
 , , ,Laois,1
 , , ,Longford,1
 , , ,Louth,1
 , , ,Meath,2
 , , ,Offaly,1
 , , ,Westmeath,0
 , , ,Wexford,1
 , , ,Wicklow,4
 , , ,Clare,0
 , , ,Cork City,0
 , , ,Cork County,4
 , , ,Kerry,0
 , , ,Limerick City and County,1
 , , ,Tipperary,1
 , , ,Waterford City and County,3
 , , ,Galway City,2
 , , ,Galway County,0
 , , ,Leitrim,1
 , , ,Mayo,1
 , , ,Roscommon,0
 , , ,Sligo,0
 , , ,Cavan,0
 , , ,Donegal,1
 , , ,Monaghan,0
 , ,20 years,,
 , , ,State,99
 , , ,Carlow,1
 , , ,Dublin City,15
 , , ,Dún Laoghaire-Rathdown,12
 , , ,Fingal,7
 , , ,South Dublin,3
 , , ,Kildare,4
 , , ,Kilkenny,1
 , , ,Laois,0
 , , ,Longford,0
 , , ,Louth,0
 , , ,Meath,4
 , , ,Offaly,0
 , , ,Westmeath,1
 , , ,Wexford,1
 , , ,Wicklow,1
 , , ,Clare,0
 , , ,Cork City,6
 , , ,Cork County,12
 , , ,Kerry,2
 , , ,Limerick City and County,11
 , , ,Tipperary,6
 , , ,Waterford City and County,1
 , , ,Galway City,2
 , , ,Galway County,6
 , , ,Leitrim,0
 , , ,Mayo,2
 , , ,Roscommon,0
 , , ,Sligo,0
 , , ,Cavan,0
 , , ,Donegal,1
 , , ,Monaghan,0
 , ,21 years,,
 , , ,State,304
 , , ,Carlow,1
 , , ,Dublin City,49
 , , ,Dún Laoghaire-Rathdown,49
 , , ,Fingal,23
 , , ,South Dublin,17
 , , ,Kildare,14
 , , ,Kilkenny,2
 , , ,Laois,2
 , , ,Longford,0
 , , ,Louth,4
 , , ,Meath,8
 , , ,Offaly,1
 , , ,Westmeath,3
 , , ,Wexford,1
 , , ,Wicklow,9
 , , ,Clare,2
 , , ,Cork City,11
 , , ,Cork County,31
 , , ,Kerry,9
 , , ,Limerick City and County,20
 , , ,Tipperary,6
 , , ,Waterford City and County,8
 , , ,Galway City,6
 , , ,Galway County,9
 , , ,Leitrim,1
 , , ,Mayo,6
 , , ,Roscommon,1
 , , ,Sligo,3
 , , ,Cavan,1
 , , ,Donegal,7
 , , ,Monaghan,0
 , ,22 years,,
 , , ,State,362
 , , ,Carlow,3
 , , ,Dublin City,58
 , , ,Dún Laoghaire-Rathdown,47
 , , ,Fingal,21
 , , ,South Dublin,15
 , , ,Kildare,18
 , , ,Kilkenny,8
 , , ,Laois,0
 , , ,Longford,1
 , , ,Louth,5
 , , ,Meath,15
 , , ,Offaly,3
 , , ,Westmeath,2
 , , ,Wexford,4
 , , ,Wicklow,11
 , , ,Clare,10
 , , ,Cork City,15
 , , ,Cork County,35
 , , ,Kerry,4
 , , ,Limerick City and County,15
 , , ,Tipperary,9
 , , ,Waterford City and County,17
 , , ,Galway City,11
 , , ,Galway County,16
 , , ,Leitrim,2
 , , ,Mayo,5
 , , ,Roscommon,1
 , , ,Sligo,4
 , , ,Cavan,1
 , , ,Donegal,4
 , , ,Monaghan,2
 , ,23 years,,
 , , ,State,676
 , , ,Carlow,0
 , , ,Dublin City,128
 , , ,Dún Laoghaire-Rathdown,92
 , , ,Fingal,47
 , , ,South Dublin,36
 , , ,Kildare,24
 , , ,Kilkenny,7
 , , ,Laois,4
 , , ,Longford,1
 , , ,Louth,13
 , , ,Meath,21
 , , ,Offaly,3
 , , ,Westmeath,8
 , , ,Wexford,11
 , , ,Wicklow,27
 , , ,Clare,10
 , , ,Cork City,31
 , , ,Cork County,66
 , , ,Kerry,7
 , , ,Limerick City and County,24
 , , ,Tipperary,9
 , , ,Waterford City and County,12
 , , ,Galway City,18
 , , ,Galway County,35
 , , ,Leitrim,0
 , , ,Mayo,14
 , , ,Roscommon,6
 , , ,Sligo,3
