Education,Gender,Age,County,Occurrences
Postgraduate diploma or degree,Male,18 years,Dublin City,416
Postgraduate diploma or degree,Male,18 years,Dún Laoghaire-Rathdown,305
Postgraduate diploma or degree,Male,18 years,Fingal,316
Postgraduate diploma or degree,Male,18 years,South Dublin,226
Postgraduate diploma or degree,Male,18 years,Kildare,172
Postgraduate diploma or degree,Male,18 years,Kilkenny,46
Postgraduate diploma or degree,Male,18 years,Laois,26
Postgraduate diploma or degree,Male,18 years,Longford,7
Postgraduate diploma or degree,Male,18 years,Louth,75
Postgraduate diploma or degree,Male,18 years,Meath,139
Postgraduate diploma or degree,Male,18 years,Offaly,16
Postgraduate diploma or degree,Male,18 years,Westmeath,31
Postgraduate diploma or degree,Male,18 years,Wexford,54
Postgraduate diploma or degree,Male,18 years,Wicklow,105
Postgraduate diploma or degree,Male,18 years,Clare,56
Postgraduate diploma or degree,Male,18 years,Cork City,61
Postgraduate diploma or degree,Male,18 years,Cork County,186
Postgraduate diploma or degree,Male,18 years,Kerry,35
Postgraduate diploma or degree,Male,18 years,Limerick City and County,79
Postgraduate diploma or degree,Male,18 years,Tipperary,71
Postgraduate diploma or degree,Male,18 years,Waterford City and County,52
Postgraduate diploma or degree,Male,18 years,Galway City,30
Postgraduate diploma or degree,Male,18 years,Galway County,69
Postgraduate diploma or degree,Male,18 years,Leitrim,7
Postgraduate diploma or degree,Male,18 years,Mayo,41
Postgraduate diploma or degree,Male,18 years,Roscommon,19
Postgraduate diploma or degree,Male,18 years,Sligo,34
Postgraduate diploma or degree,Male,18 years,Cavan,24
Postgraduate diploma or degree,Male,18 years,Donegal,65
Postgraduate diploma or degree,Male,18 years,Monaghan,16
,,,,
Postgraduate diploma or degree,Male,19 years,State,1088
Postgraduate diploma or degree,Male,19 years,Carlow,9
Postgraduate diploma or degree,Male,19 years,Dublin City,137
Postgraduate diploma or degree,Male,19 years,Dún Laoghaire-Rathdown,102
Postgraduate diploma or degree,Male,19 years,Fingal,103
Postgraduate diploma or degree,Male,19 years,South Dublin,88
Postgraduate diploma or degree,Male,19 years,Kildare,75
Postgraduate diploma or degree,Male,19 years,Kilkenny,23
Postgraduate diploma or degree,Male,19 years,Laois,12
Postgraduate diploma or degree,Male,19 years,Longford,4
Postgraduate diploma or degree,Male,19 years,Louth,44
Postgraduate diploma or degree,Male,19 years,Meath,58
Postgraduate diploma or degree,Male,19 years,Offaly,10
Postgraduate diploma or degree,Male,19 years,Westmeath,9
Postgraduate diploma or degree,Male,19 years,Wexford,24
Postgraduate diploma or degree,Male,19 years,Wicklow,39
Postgraduate diploma or degree,Male,19 years,Clare,20
Postgraduate diploma or degree,Male,19 years,Cork City,26
Postgraduate diploma or degree,Male,19 years,Cork County,91
Postgraduate diploma or degree,Male,19 years,Kerry,27
Postgraduate diploma or degree,Male,19 years,Limerick City and County,23
Postgraduate diploma or degree,Male,19 years,Tipperary,20
Postgraduate diploma or degree,Male,19 years,Waterford City and County,30
Postgraduate diploma or degree,Male,19 years,Galway City,16
Postgraduate diploma or degree,Male,19 years,Galway County,24
Postgraduate diploma or degree,Male,19 years,Leitrim,7
Postgraduate diploma or degree,Male,19 years,Mayo,23
Postgraduate diploma or degree,Male,19 years,Roscommon,7
Postgraduate diploma or degree,Male,19 years,Sligo,6
Postgraduate diploma or degree,Male,19 years,Cavan,4
Postgraduate diploma or degree,Male,19 years,Donegal,21
Postgraduate diploma or degree,Male,19 years,Monaghan,6
,,,,
Postgraduate diploma or degree,Male,20 years,State,2493
Postgraduate diploma or degree,Male,20 years,Carlow,17
Postgraduate diploma or degree,Male,20 years,Dublin City,335
Postgraduate diploma or degree,Male,20 years,Dún Laoghaire-Rathdown,239
Postgraduate diploma or degree,Male,20 years,Fingal,210
Postgraduate diploma or degree,Male,20 years,South Dublin,144
Postgraduate diploma or degree,Male,20 years,Kildare,151
Postgraduate diploma or degree,Male,20 years,Kilkenny,57
Postgraduate diploma or degree,Male,20 years,Laois,24
Postgraduate diploma or degree,Male,20 years,Longford,8
Postgraduate diploma or degree,Male,20 years,Louth,75
Postgraduate diploma or degree,Male,20 years,Meath,118
Postgraduate diploma or degree,Male,20 years,Offaly,27
Postgraduate diploma or degree,Male,20 years,Westmeath,33
Postgraduate diploma or degree,Male,20 years,Wexford,53
Postgraduate diploma or degree,Male,20 years,Wicklow,90
Postgraduate diploma or degree,Male,20 years,Clare,55
Postgraduate diploma or degree,Male,20 years,Cork City,40
Postgraduate diploma or degree,Male,20 years,Cork County,227
Postgraduate diploma or degree,Male,20 years,Kerry,46
Postgraduate diploma or degree,Male,20 years,Limerick City and County,60
Postgraduate diploma or degree,Male,20 years,Tipperary,57
Postgraduate diploma or degree,Male,20 years,Waterford City and County,69
Postgraduate diploma or degree,Male,20 years,Galway City,50
Postgraduate diploma or degree,Male,20 years,Galway County,116
Postgraduate diploma or degree,Male,20 years,Leitrim,8
Postgraduate diploma or degree,Male,20 years,Mayo,30
Postgraduate diploma or degree,Male,20 years,Roscommon,23
Postgraduate diploma or degree,Male,20 years,Sligo,28
Postgraduate diploma or degree,Male,20 years,Cavan,29
Postgraduate diploma or degree,Male,20 years,Donegal,53
Postgraduate diploma or degree,Male,20 years,Monaghan,21
,,,,
Postgraduate diploma or degree,Male,21 years,State,9107
Postgraduate diploma or degree,Male,21 years,Carlow,65
Postgraduate diploma or degree,Male,21 years,Dublin City,1470
Postgraduate diploma or degree,Male,21 years,Dún Laoghaire-Rathdown,1091
Postgraduate diploma or degree,Male,21 years,Fingal,734
Postgraduate diploma or degree,Male,21 years,South Dublin,516
Postgraduate diploma or degree,Male,21 years,Kildare,549
Postgraduate diploma or degree,Male,21 years,Kilkenny,132
Postgraduate diploma or degree,Male,21 years,Laois,87
Postgraduate diploma or degree,Male,21 years,Longford,42
Postgraduate diploma or degree,Male,21 years,Louth,203
Postgraduate diploma or degree,Male,21 years,Meath,355
Postgraduate diploma or degree,Male,21 years,Offaly,68
Postgraduate diploma or degree,Male,21 years,Westmeath,120
Postgraduate diploma or degree,Male,21 years,Wexford,163
Postgraduate diploma or degree,Male,21 years,Wicklow,283
Postgraduate diploma or degree,Male,21 years,Clare,204
Postgraduate diploma or degree,Male,21 years,Cork City,199
Postgraduate diploma or degree,Male,21 years,Cork County,733
Postgraduate diploma or degree,Male,21 years,Kerry,159
Postgraduate diploma or degree,Male,21 years,Limerick City and County,295
Postgraduate diploma or degree,Male,21 years,Tipperary,193
Postgraduate diploma or degree,Male,21 years,Waterford City and County,184
Postgraduate diploma or degree,Male,21 years,Galway City,194
Postgraduate diploma or degree,Male,21 years,Galway County,326
Postgraduate diploma or degree,Male,21 years,Leitrim,30
Postgraduate diploma or degree,Male,21 years,Mayo,169
Postgraduate diploma or degree,Male,21 years,Roscommon,70
Postgraduate diploma or degree,Male,21 years,Sligo,119
Postgraduate diploma or degree,Male,21 years,Cavan,75
Postgraduate diploma or degree,Male,21 years,Donegal,209
Postgraduate diploma or degree,Male,21 years,Monaghan,70
