Education,Gender,Age,County,Occurrences
Primary,Male,18 years,Kerry,142
Primary,Male,18 years,Limerick City and County,150
Primary,Male,18 years,Tipperary,144
Primary,Male,18 years,Waterford City and County,89
Primary,Male,18 years,Galway City,47
Primary,Male,18 years,Galway County,126
Primary,Male,18 years,Leitrim,27
Primary,Male,18 years,Mayo,150
Primary,Male,18 years,Roscommon,58
Primary,Male,18 years,Sligo,59
Primary,Male,18 years,Cavan,60
Primary,Male,18 years,Donegal,118
Primary,Male,18 years,Monaghan,58
,,,,
Primary,Male,19 years,State,782
Primary,Male,19 years,Carlow,6
Primary,Male,19 years,Dublin City,98
Primary,Male,19 years,Dún Laoghaire-Rathdown,22
Primary,Male,19 years,Fingal,34
Primary,Male,19 years,South Dublin,52
Primary,Male,19 years,Kildare,31
Primary,Male,19 years,Kilkenny,11
Primary,Male,19 years,Laois,13
Primary,Male,19 years,Longford,11
Primary,Male,19 years,Louth,14
Primary,Male,19 years,Meath,39
Primary,Male,19 years,Offaly,3
Primary,Male,19 years,Westmeath,17
Primary,Male,19 years,Wexford,22
Primary,Male,19 years,Wicklow,19
Primary,Male,19 years,Clare,18
Primary,Male,19 years,Cork City,34
Primary,Male,19 years,Cork County,79
Primary,Male,19 years,Kerry,34
Primary,Male,19 years,Limerick City and County,36
Primary,Male,19 years,Tipperary,15
Primary,Male,19 years,Waterford City and County,14
Primary,Male,19 years,Galway City,12
Primary,Male,19 years,Galway County,28
Primary,Male,19 years,Leitrim,7
Primary,Male,19 years,Mayo,30
Primary,Male,19 years,Roscommon,19
Primary,Male,19 years,Sligo,18
Primary,Male,19 years,Cavan,6
Primary,Male,19 years,Donegal,23
Primary,Male,19 years,Monaghan,17
,,,,
Primary,Male,20 years,State,0
Primary,Male,20 years,Carlow,0
Primary,Male,20 years,Dublin City,0
Primary,Male,20 years,Dún Laoghaire-Rathdown,0
Primary,Male,20 years,Fingal,0
Primary,Male,20 years,South Dublin,0
Primary,Male,20 years,Kildare,0
Primary,Male,20 years,Kilkenny,0
Primary,Male,20 years,Laois,0
Primary,Male,20 years,Longford,0
Primary,Male,20 years,Louth,0
Primary,Male,20 years,Meath,0
Primary,Male,20 years,Offaly,0
Primary,Male,20 years,Westmeath,0
Primary,Male,20 years,Wexford,0
Primary,Male,20 years,Wicklow,0
Primary,Male,20 years,Clare,0
Primary,Male,20 years,Cork City,0
Primary,Male,20 years,Cork County,0
Primary,Male,20 years,Kerry,0
Primary,Male,20 years,Limerick City and County,0
Primary,Male,20 years,Tipperary,0
Primary,Male,20 years,Waterford City and County,0
Primary,Male,20 years,Galway City,0
Primary,Male,20 years,Galway County,0
Primary,Male,20 years,Leitrim,0
Primary,Male,20 years,Mayo,0
Primary,Male,20 years,Roscommon,0
Primary,Male,20 years,Sligo,0
Primary,Male,20 years,Cavan,0
Primary,Male,20 years,Donegal,0
Primary,Male,20 years,Monaghan,0
,,,,
Primary,Male,21 years,State,0
Primary,Male,21 years,Carlow,0
Primary,Male,21 years,Dublin City,0
Primary,Male,21 years,Dún Laoghaire-Rathdown,0
Primary,Male,21 years,Fingal,0
Primary,Male,21 years,South Dublin,0
Primary,Male,21 years,Kildare,0
Primary,Male,21 years,Kilkenny,0
Primary,Male,21 years,Laois,0
Primary,Male,21 years,Longford,0
Primary,Male,21 years,Louth,0
Primary,Male,21 years,Meath,0
Primary,Male,21 years,Offaly,0
Primary,Male,21 years,Westmeath,0
Primary,Male,21 years,Wexford,0
Primary,Male,21 years,Wicklow,0
Primary,Male,21 years,Clare,0
Primary,Male,21 years,Cork City,0
Primary,Male,21 years,Cork County,0
Primary,Male,21 years,Kerry,0
Primary,Male,21 years,Limerick City and County,0
Primary,Male,21 years,Tipperary,0
Primary,Male,21 years,Waterford City and County,0
Primary,Male,21 years,Galway City,0
Primary,Male,21 years,Galway County,0
Primary,Male,21 years,Leitrim,0
Primary,Male,21 years,Mayo,0
Primary,Male,21 years,Roscommon,0
Primary,Male,21 years,Sligo,0
Primary,Male,21 years,Cavan,0
Primary,Male,21 years,Donegal,0
Primary,Male,21 years,Monaghan,0
,,,,
Primary,Male,22 years,State,0
Primary,Male,22 years,Carlow,0
Primary,Male,22 years,Dublin City,0
Primary,Male,22 years,Dún Laoghaire-Rathdown,0
Primary,Male,22 years,Fingal,0
Primary,Male,22 years,South Dublin,0
Primary,Male,22 years,Kildare,0
Primary,Male,22 years,Kilkenny,0
Primary,Male,22 years,Laois,0
Primary,Male,22 years,Longford,0
Primary,Male,22 years,Louth,0
Primary,Male,22 years,Meath,0
Primary,Male,22 years,Offaly,0
Primary,Male,22 years,Westmeath,0
Primary,Male,22 years,Wexford,0
Primary,Male,22 years,Wicklow,0
Primary,Male,22 years,Clare,0
Primary,Male,22 years,Cork City,0
Primary,Male,22 years,Cork County,0
Primary,Male,22 years,Kerry,0
Primary,Male,22 years,Limerick City and County,0
Primary,Male,22 years,Tipperary,0
Primary,Male,22 years,Waterford City and County,0
Primary,Male,22 years,Galway City,0
Primary,Male,22 years,Galway County,0
Primary,Male,22 years,Leitrim,0
Primary,Male,22 years,Mayo,0
Primary,Male,22 years,Roscommon,0
Primary,Male,22 years,Sligo,0
Primary,Male,22 years,Cavan,0
Primary,Male,22 years,Donegal,0
Primary,Male,22 years,Monaghan,0
,,,,
Primary,Male,23 years,State,0
Primary,Male,23 years,Carlow,0
Primary,Male,23 years,Dublin City,0
Primary,Male,23 years,Dún Laoghaire-Rathdown,0
Primary,Male,23 years,Fingal,0
Primary,Male,23 years,South Dublin,0
Primary,Male,23 years,Kildare,0
Primary,Male,23 years,Kilkenny,0
Primary,Male,23 years,Laois,0
Primary,Male,23 years,Longford,0
Primary,Male,23 years,Louth,0
Primary,Male,23 years,Meath,0
Primary,Male,23 years,Offaly,0
Primary,Male,23 years,Westmeath,0
Primary,Male,23 years,Wexford,0
Primary,Male,23 years,Wicklow,0
Primary,Male,23 years,Clare,0
Primary,Male,23 years,Cork City,0
Primary,Male,23 years,Cork County,0
Primary,Male,23 years,Kerry,0
Primary,Male,23 years,Limerick City and County,0
Primary,Male,23 years,Tipperary,0
Primary,Male,23 years,Waterford City and County,0
Primary,Male,23 years,Galway City,0
Primary,Male,23 years,Galway County,0
Primary,Male,23 years,Leitrim,0
Primary,Male,23 years,Mayo,0
Primary,Male,23 years,Roscommon,0
Primary,Male,23 years,Sligo,0
Primary,Male,23 years,Cavan,0
Primary,Male,23 years,Donegal,0
Primary,Male,23 years,Monaghan,0
,,,,
Primary,Male,24 years,State,0
Primary,Male,24 years,Carlow,0
Primary,Male,24 years,Dublin City,0
